,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,7167.4766247902535,6431.971005548307,7899.491832069754
303,2022-08-16,7138.527665585795,6438.169604251179,7854.91856696876
304,2022-08-17,7138.662447930047,6427.681672831937,7869.150282512335
305,2022-08-18,7199.803330200965,6495.065043656951,7898.904992500516
306,2022-08-19,7197.326465760101,6424.022678227194,7877.949947915724
308,2022-08-21,7526.98121706715,6766.0427196881,8219.743288577783
309,2022-08-22,7458.406576610923,6752.302815771902,8198.339900446195
310,2022-08-23,7604.451138183217,6877.49015848932,8285.32709324261
311,2022-08-24,7775.0756704788755,7066.466759098479,8507.295064807204
312,2022-08-25,7998.339397421055,7339.415006303227,8732.353714352825
