,ds,yhat,yhat_lower,yhat_upper
245,2022-08-15,28211.552593165023,28114.930935433797,28299.91947515788
246,2022-08-16,28154.301925376883,28063.603569368588,28246.266561303695
247,2022-08-17,28077.059979725902,27981.859966168002,28173.42771151651
248,2022-08-18,27998.892279122123,27903.40573303686,28095.573649792626
249,2022-08-19,27915.39954728619,27817.77340562383,28014.10923068981
251,2022-08-21,27033.585614777716,26928.025256583194,27133.99032618514
252,2022-08-22,27642.360898524083,27527.488185130293,27746.574230862654
253,2022-08-23,27524.715042474545,27405.90935612697,27635.244850298208
254,2022-08-24,27387.480285509486,27270.70542464198,27502.206654500158
255,2022-08-25,27250.059084015153,27129.233304751386,27373.277509418043
