,ds,yhat,yhat_lower,yhat_upper
233,2022-08-15,-13236.187199994174,-13814.489496732262,-12657.84376972527
234,2022-08-16,-15649.518798323976,-16226.136429813905,-15111.209338968825
235,2022-08-17,-17979.575360513812,-18550.098405401324,-17389.993810326967
236,2022-08-18,-20194.842541325732,-20763.40045894749,-19621.96867747834
237,2022-08-19,-22837.222805957776,-23403.189710964103,-22207.489468552492
239,2022-08-21,-14640.455592215701,-15195.864489825382,-14093.571587715242
240,2022-08-22,-30163.90643691605,-30749.695274559097,-29613.26254422906
241,2022-08-23,-31225.484094734857,-31821.25721157674,-30653.761000230865
242,2022-08-24,-31812.12423395471,-32408.738420190562,-31242.43153238413
243,2022-08-25,-31892.362045434227,-32500.809155784907,-31284.50987780792
