,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,3771.499159825702,3611.503717167099,3944.554480688999
303,2022-08-16,3770.9472339457093,3599.070481100029,3952.5271649169954
304,2022-08-17,3762.043842455792,3578.5165350556317,3945.701366036217
305,2022-08-18,3776.637689709976,3603.1088030290643,3951.164590088614
306,2022-08-19,3775.0833489052434,3599.482909129647,3942.8639808731236
308,2022-08-21,3727.7844111065724,3539.7461835412646,3896.855786130314
309,2022-08-22,3784.81253318216,3596.652340430229,3951.18242617476
310,2022-08-23,3782.2270525194717,3601.8773473429496,3959.805482807259
311,2022-08-24,3771.537369870069,3581.1339930902172,3939.017344338018
312,2022-08-25,3784.7660533137573,3605.514167383459,3975.020628580672
