,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,4022.958447157716,4016.1825361044757,4029.690466654742
303,2022-08-16,4023.1692110922013,4016.386990100522,4029.8045498054994
304,2022-08-17,4023.9288387748265,4016.4749204949844,4031.802652797365
305,2022-08-18,4023.802201226611,4015.804064343782,4032.03510189253
306,2022-08-19,4024.5943419187915,4015.2162446483803,4033.780622264175
308,2022-08-21,3929.5979577330136,3918.444289764149,3940.8175260622884
309,2022-08-22,4025.746432386794,4012.581239055022,4038.6982359296967
310,2022-08-23,4024.646235131075,4009.016012019081,4040.2819024610544
311,2022-08-24,4023.9734478392206,4006.1653083876085,4041.016506930419
312,2022-08-25,4022.325818865099,4002.508845414647,4044.990054964428
