,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,13728.648971434832,11224.246202834394,16113.493707133373
303,2022-08-16,13151.760465161118,10928.218399763331,15522.783294564388
304,2022-08-17,13091.183246325061,10776.73171008434,15484.768743625116
305,2022-08-18,12347.192643401146,9919.561120053644,14598.870638837505
306,2022-08-19,12361.190133428192,10191.612289844274,14598.941121902348
308,2022-08-21,14218.643078299121,11776.523454118034,16520.275376727568
309,2022-08-22,11103.832729353437,8652.437180961266,13396.02691621968
310,2022-08-23,10702.429456844235,8413.740273877382,13107.890546564706
311,2022-08-24,10917.49989817758,8514.754359750787,13331.399569953703
312,2022-08-25,10484.330684765611,8226.204714041442,12792.180306754344
