,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,8280.096183659374,7840.585974861003,8655.484052892223
303,2022-08-16,8349.880071979362,7909.268577993029,8787.15640910025
304,2022-08-17,8419.228363662472,8007.712194854379,8851.534802672244
305,2022-08-18,8607.738632127981,8197.0441402045,9011.352268112192
306,2022-08-19,8705.751373200314,8284.716339665169,9131.32010475322
308,2022-08-21,-3105.555393224364,-3544.4517270565807,-2686.291221159015
309,2022-08-22,9262.239359777248,8820.57007727377,9694.987698276462
310,2022-08-23,9510.932230594446,9082.035998663932,9950.189895004847
311,2022-08-24,9762.091390545473,9326.905353766004,10192.462065842694
312,2022-08-25,10133.801713613948,9726.903193373078,10581.67251819811
