,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,24039.430054002114,20312.230758409096,27802.3485560898
303,2022-08-16,23862.892173736487,20235.54839877855,27360.208989454837
304,2022-08-17,23988.555076389395,20394.494105083577,27668.07687846739
305,2022-08-18,23546.2156088003,20163.785287199422,27541.79288373262
306,2022-08-19,23349.64472110362,19699.32886465879,27134.9760576399
308,2022-08-21,31131.64728449365,27538.768465149067,34765.79901247482
309,2022-08-22,23552.101961464894,19927.728004018958,27027.111963962412
310,2022-08-23,23172.67934102049,19436.670338811968,26687.269919928167
311,2022-08-24,23138.00634050211,19381.363518329767,26832.420076616276
312,2022-08-25,22588.24967612845,18584.279211662895,26224.282165993372
