,ds,yhat,yhat_lower,yhat_upper
246,2022-08-15,0.0,-1.3493350056486039e-09,1.3333643354475378e-09
247,2022-08-16,0.0,-1.2891990305515918e-09,1.277603038938368e-09
248,2022-08-17,0.0,-1.2401528085729476e-09,1.2855344408499716e-09
249,2022-08-18,0.0,-1.3452295708505618e-09,1.2887288671082956e-09
250,2022-08-19,0.0,-1.310339731758685e-09,1.2613699337675395e-09
252,2022-08-21,0.0,-1.293852779000222e-09,1.314869590035045e-09
253,2022-08-22,0.0,-1.2831889455735389e-09,1.2735896655401448e-09
254,2022-08-23,0.0,-1.2860149647957251e-09,1.2836823927527836e-09
255,2022-08-24,0.0,-1.3325745040794776e-09,1.3307274705818991e-09
256,2022-08-25,0.0,-1.2744767199918833e-09,1.279977859087109e-09
