,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,418.3265544872522,395.1125477562405,438.6315991831074
303,2022-08-16,421.6761455578872,398.13097885148403,445.2109188770006
304,2022-08-17,425.6174611848113,403.01352576726174,448.4700452146827
305,2022-08-18,428.4338387229728,405.8586103339746,451.0188689215592
306,2022-08-19,428.43667538140915,405.8674508243916,451.73386632332426
308,2022-08-21,452.7048081302782,429.67642739501156,472.852790811141
309,2022-08-22,435.5238113528075,413.04701137000575,457.9033563947199
310,2022-08-23,438.8846685810639,414.4027520354394,460.4100800004507
311,2022-08-24,442.65141797880403,420.7286802679945,464.85440016986064
312,2022-08-25,445.0999840602038,421.84453207130645,467.82221763809105
