,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,1633.563061260895,1352.2012451276964,1929.0975067588708
303,2022-08-16,1664.02108590823,1395.0461521920024,1946.776427434159
304,2022-08-17,1700.498504503337,1431.5824557996377,1989.1658308250771
305,2022-08-18,1750.5628815363316,1481.0107306574141,2010.9795182215516
306,2022-08-19,1775.747466083191,1502.9893647890774,2060.8707934866643
308,2022-08-21,2006.59018168585,1732.5520975691936,2292.965480887722
309,2022-08-22,1914.985410673698,1626.0150100954552,2197.4792634626474
310,2022-08-23,1972.5473004787145,1700.1344949403372,2262.5754852879045
311,2022-08-24,2037.8093637968627,1764.4445200613775,2326.2883869172683
312,2022-08-25,2117.952883676282,1837.1958314067886,2406.7075723606413
