,ds,yhat,yhat_lower,yhat_upper
302,2022-08-15,24965.50192443345,23960.395263837396,25992.783793348295
303,2022-08-16,24807.810867467728,23776.38180678351,25774.545864842305
304,2022-08-17,24516.090792992887,23451.795864863216,25503.507379927727
305,2022-08-18,24224.365674168213,23217.73494303711,25223.666151971793
306,2022-08-19,23989.02506968628,22936.988765286496,24947.03812208393
308,2022-08-21,23378.218134028368,22316.16081912999,24438.730794733103
309,2022-08-22,22923.842967926466,21987.221261075298,24010.622859655217
310,2022-08-23,22578.81907595143,21570.509773183785,23539.516627813664
311,2022-08-24,22119.94580149578,21083.718876381823,23190.962390981953
312,2022-08-25,21682.866773152542,20651.73477136672,22634.456066241986
