,ds,yhat,yhat_lower,yhat_upper
303,2022-08-16,2800.42318019212,2788.324371835237,2811.5298400818783
304,2022-08-17,2801.002030827122,2788.3587010307065,2812.0446179322357
305,2022-08-18,2803.1198831798024,2790.8753085616695,2814.3807245578246
306,2022-08-19,2802.4788837047895,2790.199224024839,2815.064030889487
308,2022-08-21,2702.0272084910516,2689.6069861779183,2716.0025228260283
309,2022-08-22,2807.596347993151,2794.869889130394,2821.264954666213
310,2022-08-23,2809.71725064314,2796.2462988751577,2823.4970601162386
311,2022-08-24,2813.4416318662124,2799.4760816745033,2828.6375180598307
312,2022-08-25,2818.7413454756293,2805.5869341213293,2835.095698227962
313,2022-08-26,2821.2343322990896,2805.993892673098,2836.8260039672286
