,ds,yhat,yhat_lower,yhat_upper
249,2022-08-16,4.250722891323034,-306.33265075699245,301.994651277519
250,2022-08-17,5.507947960385923,-332.40631587671885,337.27050890229015
251,2022-08-18,6.836100099209003,-306.7284633246726,320.03338275868157
252,2022-08-19,8.391876575408489,-312.26554557628054,319.9820817749743
254,2022-08-21,22.984507590914614,-310.4649558751264,347.97920389327027
255,2022-08-22,13.41349984213439,-294.6606487449349,306.16049128711626
256,2022-08-23,15.19142995779845,-299.7070115564587,315.57145907815925
257,2022-08-24,17.010972812893506,-313.51984377253035,322.53586837307336
258,2022-08-25,18.78987659679461,-289.17858955330905,343.102885087205
259,2022-08-26,20.684252187832914,-275.4499788461289,362.31271132419846
