,ds,yhat,yhat_lower,yhat_upper
299,2022-08-16,-368.7628082326688,-1107.4486058660184,386.05314477401066
300,2022-08-17,-390.02976509072846,-1176.9662948490616,358.53293203877695
301,2022-08-18,-413.14912899883205,-1207.3734878690136,352.9156210004305
302,2022-08-19,-441.182379435987,-1237.690863026143,340.01838417217095
304,2022-08-21,-689.3079683878224,-1464.3476638692177,33.43570535410851
305,2022-08-22,-509.94517264397604,-1311.0210964436521,261.07506627447486
306,2022-08-23,-552.56102247583,-1312.2314173686534,252.9012582338492
307,2022-08-24,-581.0812922689285,-1342.598998924759,203.84856078103712
308,2022-08-25,-611.3744132127399,-1386.7155199302567,66.60327448800817
309,2022-08-26,-647.2148732772023,-1422.2149637861512,89.13594607670879
