,ds,yhat,yhat_lower,yhat_upper
249,2022-08-16,15030.38253332409,12838.412439860636,17183.95520760418
250,2022-08-17,15724.897908595518,13616.03229558091,18019.184449626984
251,2022-08-18,16194.599564089871,13809.863911910052,18529.55758256719
252,2022-08-19,16778.590149392407,14669.443420286254,18908.891522037316
254,2022-08-21,20237.739217053855,17946.80544516034,22482.35993988051
255,2022-08-22,19109.568941485122,16964.47485222822,21367.483674170726
256,2022-08-23,19993.839636942776,17806.818333482035,22289.54834174759
257,2022-08-24,21375.436440832826,19035.26468199371,23651.332064344144
258,2022-08-25,22490.50145002951,20173.003574635884,24786.858765863057
259,2022-08-26,23668.834577863472,21335.483848907264,26144.473174576968
