,ds,yhat,yhat_lower,yhat_upper
282,2022-08-16,0.0,-1.2394468177405028e-09,1.2893721746897286e-09
283,2022-08-17,0.0,-1.1176675610458123e-09,1.3460033707941817e-09
284,2022-08-18,0.0,-1.2972668542502854e-09,1.2861793937697352e-09
285,2022-08-19,0.0,-1.2794166409820181e-09,1.2874248110945723e-09
287,2022-08-21,0.0,-1.2000696223147567e-09,1.3533566979099472e-09
288,2022-08-22,0.0,-1.2549908896507855e-09,1.392462371262173e-09
289,2022-08-23,0.0,-1.272567242868952e-09,1.1990409658301106e-09
290,2022-08-24,0.0,-1.2893625024366581e-09,1.2838305795540032e-09
291,2022-08-25,0.0,-1.3707549611490137e-09,1.281578982985473e-09
292,2022-08-26,0.0,-1.2149399058725155e-09,1.2838992833825843e-09
