,ds,yhat,yhat_lower,yhat_upper
293,2022-08-16,480.9306047039046,476.58643164579865,485.332481654402
294,2022-08-17,480.4380045310473,476.2917735342072,484.8832791592463
295,2022-08-18,480.9387005548697,476.5410935845727,484.9264792788016
296,2022-08-19,481.32203101596417,477.0584604254737,485.84472629973675
298,2022-08-21,481.8706517426959,477.69964320023615,486.3181049803242
299,2022-08-22,483.215048240564,478.970585506538,487.8790258227463
300,2022-08-23,484.2499234381646,479.94594172336093,488.36298404944995
301,2022-08-24,484.81585378161685,480.56234622329333,489.72805601139993
302,2022-08-25,486.4409655193477,481.97163019422777,490.7538430361304
303,2022-08-26,488.00027235196154,483.7282202573762,492.3442516125532
