,ds,yhat,yhat_lower,yhat_upper
303,2022-08-16,2609.248361537834,2409.043959168066,2804.3086386890873
304,2022-08-17,2628.6469207597706,2447.8087227365336,2821.683188005317
305,2022-08-18,2669.6533954992005,2489.124223884072,2867.2486527682113
306,2022-08-19,2681.594891400243,2497.736936607659,2866.892317273647
308,2022-08-21,2874.513538602914,2673.934375298153,3056.9473183807045
309,2022-08-22,2768.0442839029215,2574.4530486456138,2974.2638055043867
310,2022-08-23,2798.723838758559,2611.7480987800263,2989.6884658237777
311,2022-08-24,2829.0735611222017,2637.5451212583525,3028.491219925022
312,2022-08-25,2882.6392821350155,2694.052347597112,3083.842467753275
313,2022-08-26,2907.9087413702428,2722.314614638846,3098.3809477253367
