,ds,yhat,yhat_lower,yhat_upper
303,2022-08-16,-335.9906048041085,-1336.26062244936,666.241134624869
304,2022-08-17,-428.9987873953971,-1425.7639483073926,535.9090293071563
305,2022-08-18,-378.84643016028093,-1350.2670504282582,594.8257010800762
306,2022-08-19,-351.3538447439423,-1289.2591060067425,558.8222370717152
308,2022-08-21,-1397.1965676264276,-2267.6366979633517,-470.63683360152646
309,2022-08-22,-348.97184233581396,-1304.5027733859054,621.2816017588987
310,2022-08-23,-291.2968151850887,-1245.71122700238,687.0778193710161
311,2022-08-24,-334.4233163078513,-1317.9128643121762,564.2713069120092
312,2022-08-25,-215.07877859520775,-1139.0682981565199,750.3293359989267
313,2022-08-26,-131.4122870328679,-1110.4688222297605,762.5633861559336
