,ds,yhat,yhat_lower,yhat_upper
298,2022-08-16,1264.3551992049947,1111.6589956903458,1403.1982195386356
299,2022-08-17,1257.3393067914385,1105.396123354746,1412.5677042940083
300,2022-08-18,1256.8577880072623,1099.0583872133025,1400.489090897782
301,2022-08-19,1237.448170753845,1087.6441870878123,1387.6777698366723
303,2022-08-21,1334.572721289542,1178.01640668884,1485.8438555620291
304,2022-08-22,1255.6392088687355,1094.21966227969,1404.9601026631783
305,2022-08-23,1276.0446169579302,1120.5307572640086,1419.4963349902591
306,2022-08-24,1289.2780300520035,1136.1484864707372,1440.654938131531
307,2022-08-25,1307.27742719393,1162.5315518171576,1459.8589262955238
308,2022-08-26,1304.3321192850572,1154.5270761981321,1457.2638226695044
