,ds,yhat,yhat_lower,yhat_upper
286,2022-08-16,10089.870556284872,9741.86828995564,10445.935374317363
287,2022-08-17,9986.997113045447,9590.392241833777,10382.064721776815
288,2022-08-18,9961.066342117665,9568.957869241503,10336.969127659248
289,2022-08-19,9841.341466584867,9476.942487459028,10230.964393473214
291,2022-08-21,9338.327177967134,8945.698160537828,9743.157938197559
292,2022-08-22,9429.089810294232,9009.15256459284,9833.135957643195
293,2022-08-23,9311.772589246797,8881.756708789748,9745.029967751245
294,2022-08-24,9198.194951043664,8781.812069622198,9648.958229720754
295,2022-08-25,9170.863637171085,8781.025607398045,9622.299219597257
296,2022-08-26,9057.446750069275,8608.219539340198,9556.447100911586
