,ds,yhat,yhat_lower,yhat_upper
303,2022-08-16,1415.8475039422747,1304.2764359131295,1520.7082834123428
304,2022-08-17,1431.3809756407545,1319.7506408586823,1538.1168588932005
305,2022-08-18,1460.1953052623905,1340.6128843214042,1565.5308531672451
306,2022-08-19,1486.0911492788712,1376.8728890162786,1592.2978579031737
308,2022-08-21,1458.3545522847896,1341.799507789929,1569.484543326553
309,2022-08-22,1560.5505200984865,1442.8074539310385,1677.7393954195818
310,2022-08-23,1590.6710063771964,1476.492463100015,1700.5678335970292
311,2022-08-24,1630.652062393373,1522.490533445354,1741.7982787068347
312,2022-08-25,1685.7139747078818,1566.0841606550746,1793.03906955245
313,2022-08-26,1738.6809426087677,1625.1377385596163,1863.5398485257917
