,ds,yhat,yhat_lower,yhat_upper
303,2022-08-16,2919.493045503221,2504.137574587176,3328.384153842545
304,2022-08-17,2895.6829337003464,2487.9301322428773,3335.437371740892
305,2022-08-18,2948.704361571609,2528.7318384133964,3377.307576724934
306,2022-08-19,2953.9824633087173,2551.090661991115,3431.444764690113
308,2022-08-21,3651.606408201885,3232.2052017670644,4075.3865610880475
309,2022-08-22,2941.433892679769,2517.9496392639676,3382.451369486638
310,2022-08-23,2902.3777440703193,2460.9599396112244,3311.7640560733666
311,2022-08-24,2895.6675601822867,2469.465167041091,3282.9564685023756
312,2022-08-25,2967.5869366356114,2555.3597283177687,3370.616662300974
313,2022-08-26,2992.8275069349957,2578.6417062233027,3423.275803833507
