,ds,yhat,yhat_lower,yhat_upper
301,2022-08-16,1241.9580551721854,1027.1625071487786,1472.8875168650834
302,2022-08-17,1252.0313369311812,1020.0665534152205,1476.4646662040482
303,2022-08-18,1267.769391411906,1036.445010645357,1487.5590920542659
304,2022-08-19,1268.2262355984583,1043.196325080152,1485.6259912866092
306,2022-08-21,1355.0888761089875,1139.5322202823875,1596.0605399701092
307,2022-08-22,1330.755044430342,1112.8596501636841,1557.2099640431773
308,2022-08-23,1360.034343317435,1124.6082160069893,1582.3349372488963
309,2022-08-24,1403.6966073745732,1190.1535849641286,1635.108562417632
310,2022-08-25,1455.8684469593625,1220.6504065993574,1674.90154626063
311,2022-08-26,1494.8111366072537,1267.8056050441248,1691.0007078779204
