,ds,yhat,yhat_lower,yhat_upper
296,2022-08-17,1576.6255075393785,1510.3276463410361,1650.2858160204582
297,2022-08-18,1584.0758331686898,1519.2245899570644,1650.2028513214243
298,2022-08-19,1587.4363078723127,1519.3240946682754,1663.8376853338593
300,2022-08-21,1578.966989184245,1507.7763744078902,1650.1729070118333
301,2022-08-22,1592.9578630596857,1522.9559273980112,1666.5307364310902
302,2022-08-23,1591.372543235844,1520.6441573640361,1655.3008008742843
303,2022-08-24,1589.582807893875,1523.0627142504693,1660.6611052570831
304,2022-08-25,1588.5364186468667,1521.8300493449233,1655.2496515765768
305,2022-08-26,1583.1699343919845,1511.5217632650504,1655.981218835697
307,2022-08-28,1557.0528006074476,1487.1787596999018,1631.9344820134986
