,ds,yhat,yhat_lower,yhat_upper
301,2022-08-17,339.8900022795066,327.77860693824454,352.27735769933116
302,2022-08-18,341.7660490314647,328.8853694195217,353.53328152487524
303,2022-08-19,342.18933260728244,330.65978725772504,353.7701424405646
305,2022-08-21,344.4413806367038,332.13621552104144,357.07732217140625
306,2022-08-22,342.36506964314225,330.4831258625899,354.11133318276904
307,2022-08-23,342.6618355488521,330.07425220781613,355.13828612422157
308,2022-08-24,343.06924172322084,330.3766636046926,354.4640607394589
309,2022-08-25,344.3855149377576,333.2662215787218,356.742075210328
310,2022-08-26,344.2332515155306,330.8184808612162,356.15497489161146
312,2022-08-28,345.3583618198649,334.03638828765435,358.2246176596227
