,ds,yhat,yhat_lower,yhat_upper
286,2022-08-17,13976.307130407286,13543.540214774752,14446.549031113811
287,2022-08-18,13940.513289069104,13559.132036085355,14375.215599534997
288,2022-08-19,13859.186803634424,13365.977236896933,14274.166797150463
290,2022-08-21,13895.29585805704,13447.563932826615,14320.465837641732
291,2022-08-22,13891.681651117056,13435.825650143155,14359.801514356663
292,2022-08-23,13904.617616269903,13449.988991604396,14342.691734474678
293,2022-08-24,13945.897645750038,13518.025869888565,14335.274605341054
294,2022-08-25,13912.146792108253,13469.143505172235,14331.735287064432
295,2022-08-26,13833.436634615606,13366.086161264333,14274.57865722235
297,2022-08-28,13876.48633982694,13387.788862971285,14335.665943362483
