,ds,yhat,yhat_lower,yhat_upper
301,2022-08-17,30236.39719375003,25663.526453295955,35204.37559797304
302,2022-08-18,29183.61813786548,24217.7469591285,34125.72271652849
303,2022-08-19,28895.065713326785,23833.654556525904,33942.05086329391
305,2022-08-21,30426.72525667078,25502.44228865161,35022.5225233253
306,2022-08-22,27953.5600686098,23331.24106100419,32966.21937119791
307,2022-08-23,28586.542129899797,23659.834983996232,33602.06959397101
308,2022-08-24,30510.07240741483,25847.354861483014,35564.521579518696
309,2022-08-25,30150.572531594564,25266.49908578471,34607.80812278869
310,2022-08-26,30546.0920823291,25733.438284480097,35428.04273650088
312,2022-08-28,33342.272632503016,28438.771576185623,38030.03473741546
