,ds,yhat,yhat_lower,yhat_upper
301,2022-08-17,17904.922670545853,17712.416631471602,18121.058589027605
302,2022-08-18,17897.53842346802,17687.80220164315,18113.034508406487
303,2022-08-19,17866.19450924291,17666.08311916684,18059.869342802853
305,2022-08-21,17031.803036816218,16816.875369996833,17247.887218505235
306,2022-08-22,17709.91720023761,17501.8726809285,17921.510754779953
307,2022-08-23,17621.052493025596,17395.984210584946,17839.33784856247
308,2022-08-24,17541.92833852857,17312.046330352805,17769.874065535372
309,2022-08-25,17469.46368241516,17240.74505210862,17697.435329911914
310,2022-08-26,17373.673650827437,17146.35879997925,17614.58437801959
312,2022-08-28,16417.236068200084,16149.75966172034,16667.033175340595
