,ds,yhat,yhat_lower,yhat_upper
301,2022-08-17,10267.01282332426,10243.463773311243,10291.97317819743
302,2022-08-18,10277.128319668947,10251.05346511948,10302.727231714185
303,2022-08-19,10293.669742419455,10265.882185284156,10319.04001280761
305,2022-08-21,9674.892763523525,9645.228172601179,9701.532681066808
306,2022-08-22,10342.69071066328,10310.978600935241,10372.624495923681
307,2022-08-23,10354.471371343843,10319.331943490904,10388.824449910271
308,2022-08-24,10370.126428499594,10332.475626771455,10402.899365198868
309,2022-08-25,10389.294849699414,10344.955206450699,10425.83162106217
310,2022-08-26,10414.183780442172,10363.474993187703,10458.098412572846
312,2022-08-28,9813.882123405658,9749.209296998417,9863.131780360152
