,ds,yhat,yhat_lower,yhat_upper
301,2022-08-17,6953.5396203293,3638.9781551219435,10030.443297598496
302,2022-08-18,8075.954722130092,4877.8068852264005,11247.625160704027
303,2022-08-19,9136.181620289966,5815.927234947678,12316.699884526139
305,2022-08-21,15268.480449762856,11951.787921624718,18593.571966039548
306,2022-08-22,12326.409827167054,8913.202730342611,15625.856584396748
307,2022-08-23,12921.29129445811,9878.543722937648,16060.099834149969
308,2022-08-24,13997.04945899054,10873.135089281097,17303.22461932555
309,2022-08-25,14886.914057648155,11697.79696389857,18115.97387070066
310,2022-08-26,15641.253331812786,12427.364552182942,19058.523716323296
312,2022-08-28,21000.722204392903,17887.68543163033,24294.293023087233
