,ds,yhat,yhat_lower,yhat_upper
275,2022-08-17,1095.889822453905,988.8829683801172,1204.6896322156183
276,2022-08-18,1089.8147332846765,986.6453976332011,1195.906425919452
277,2022-08-19,1082.8174699015958,975.7962400700142,1190.5225478933726
279,2022-08-21,1108.9178440407559,1009.0642329381936,1214.6149587232846
280,2022-08-22,1067.5241149437968,964.6777256231732,1163.3238011225706
281,2022-08-23,1073.2408235027506,974.0069438788828,1181.2383039730657
282,2022-08-24,1073.6680757439806,966.7971745044422,1183.8926590128408
283,2022-08-25,1084.21117041493,981.647165752714,1183.469275857803
284,2022-08-26,1096.0197442859726,996.3346299785169,1195.274013801469
286,2022-08-28,1165.8627944318964,1058.6011481281034,1266.0490591171274
