,ds,yhat,yhat_lower,yhat_upper
301,2022-08-17,-83.67421836121744,-154.22887191753168,-16.397396733681564
302,2022-08-18,-86.06524429881362,-160.22205012140358,-16.20375630821811
303,2022-08-19,-87.71321068559536,-152.8195941682185,-19.199695067022912
305,2022-08-21,-38.131678828625546,-107.70588556652233,25.63924910594919
306,2022-08-22,-95.24590360015691,-167.153829881793,-27.31993689551867
307,2022-08-23,-98.14070727789343,-159.16822825173958,-29.219351292725865
308,2022-08-24,-100.68428306466039,-166.30707718542354,-30.28009542686354
309,2022-08-25,-102.81064464248388,-176.18698233838876,-38.11608105129622
310,2022-08-26,-104.09788636145193,-174.5568154443076,-35.55167697344563
312,2022-08-28,-45.134077492546254,-109.5741124901654,21.253829122051396
