,ds,yhat,yhat_lower,yhat_upper
301,2022-08-17,22305.25972170299,22190.321834160794,22418.56286900357
302,2022-08-18,22270.086346020198,22150.50252591584,22387.411171590236
303,2022-08-19,22219.742382134667,22107.811900510653,22337.503399213027
305,2022-08-21,21740.943292167354,21617.560114796055,21856.846864918884
306,2022-08-22,22120.42730805422,22004.367124229746,22232.11893952425
307,2022-08-23,22096.154924818326,21983.46098914354,22209.61643170311
308,2022-08-24,22076.7960934941,21968.73986732401,22192.230705621027
309,2022-08-25,22049.125447132144,21926.819524287683,22167.751876813574
310,2022-08-26,22007.958913061044,21892.47911184846,22122.31616268014
312,2022-08-28,21552.804173425004,21444.04599093491,21666.77897860319
