,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,23202.232112884038,20039.422765030344,26531.973922110315
305,2022-08-22,22755.994074827006,19501.98015294,26092.924348053548
306,2022-08-23,22654.77049653924,19189.210394956048,26068.00418034157
307,2022-08-24,22489.96494340049,19124.64973582175,25572.406180077003
308,2022-08-25,22445.95686517331,19164.708112497257,25711.83316194055
309,2022-08-26,22145.96591289381,18584.750348095735,25546.783259546923
312,2022-08-29,21712.181957969464,18402.450176591312,24795.430925408335
313,2022-08-30,21618.281241425757,18284.010668363626,25008.75134368464
314,2022-08-31,21466.705590713816,18151.1306065797,24971.76503575006
315,2022-09-01,21445.441119022333,18324.873568107254,24593.635528242885
