,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,1177.9844572728744,1043.1128909461943,1299.7957790029068
305,2022-08-22,1231.227656645674,1095.5212522633267,1364.8824494672533
306,2022-08-23,1253.8762324198885,1136.2157829532564,1381.8039928096712
307,2022-08-24,1273.2382965482857,1142.5371202809326,1402.7818625602947
308,2022-08-25,1303.087822400806,1180.2472269145853,1428.528220752575
309,2022-08-26,1313.5538666497566,1188.9057259860572,1442.1625778496525
312,2022-08-29,1377.822885758006,1260.5590444974819,1503.7856279593957
313,2022-08-30,1397.9240086064283,1275.6886180245197,1528.716031087071
314,2022-08-31,1411.9451600229277,1278.0360815763336,1542.1721587343252
315,2022-09-01,1434.032364230678,1311.6864828914938,1549.3551110820276
