,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,30423.788745746788,29810.426113258207,30958.62045483094
305,2022-08-22,30021.92278356545,29485.545111890755,30535.031007581816
306,2022-08-23,29934.358168926246,29388.638857637212,30501.65556582322
307,2022-08-24,29802.331837933318,29240.52781185362,30375.66553340388
308,2022-08-25,29686.930206991674,29156.560720278507,30271.825828367746
309,2022-08-26,29521.771694109833,28940.566624441843,30112.457424577053
312,2022-08-29,29129.308468869764,28472.66108492533,29772.95154440497
313,2022-08-30,29065.65652700816,28459.563788165746,29649.218220409402
314,2022-08-31,28968.063943577814,28374.290096628538,29620.313572449162
315,2022-09-01,28897.012597965368,28191.48620522988,29487.38495277612
