,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,5513.325832718722,5230.143011402765,5790.313362506124
305,2022-08-22,5526.451625828725,5277.1091434387845,5816.534396850938
306,2022-08-23,5517.792928793914,5231.133110203798,5816.743752047458
307,2022-08-24,5517.80577538056,5225.071095529439,5813.809007748948
308,2022-08-25,5624.166213999724,5330.803776810458,5908.940471120903
309,2022-08-26,5542.514087697288,5262.077764181943,5808.631076356815
312,2022-08-29,5480.347100178549,5226.399115475676,5758.864416601128
313,2022-08-30,5453.018596611166,5172.216747624802,5747.931392457587
314,2022-08-31,5438.784896943275,5172.370135641735,5733.107669879113
315,2022-09-01,5536.854275937913,5249.563378005579,5802.974037724399
