,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,8130.8228564142855,5980.862662396698,10333.972540244604
305,2022-08-22,8475.082214451888,6444.752938839278,10631.415697081433
306,2022-08-23,8822.482149215464,6579.877990090657,10975.672977475533
307,2022-08-24,9235.82536592796,7099.921780861504,11474.777627534493
308,2022-08-25,9380.546349675908,7154.224204840094,11691.686526283667
309,2022-08-26,9657.704405357574,7453.874532301391,11762.586078032326
312,2022-08-29,10146.957672006036,7899.600367159349,12147.311338714508
313,2022-08-30,10466.897531102788,8341.010072269484,12731.215058610893
314,2022-08-31,10817.600817365019,8591.402968527967,12982.620413628889
315,2022-09-01,10882.579932000988,8622.650750194458,12923.004259371033
