,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,565.6742144700645,553.3212039945289,577.8749887501012
305,2022-08-22,563.7270142523616,551.7894664910909,577.0727886046494
306,2022-08-23,563.2574768700315,550.8622690614764,574.8387132726441
307,2022-08-24,565.5391423093479,552.7922872654191,578.5172930166642
308,2022-08-25,564.8505261874569,552.4561402961828,576.901266474426
309,2022-08-26,564.889286393322,552.8925448798533,577.6964048197414
312,2022-08-29,565.8647459518113,553.7918055993614,578.6424640089226
313,2022-08-30,567.0312069296486,555.1868276568575,579.8728514705803
314,2022-08-31,571.2635150732586,559.511701040383,583.4548161691442
315,2022-09-01,572.799714227284,559.5400355405872,584.5394891677839
