,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,23707.55570073967,19604.024585672178,27902.495146632886
305,2022-08-22,24239.94813265806,19911.586917825225,28145.318974165257
306,2022-08-23,24693.14594180428,20570.04143741722,29060.052815025312
307,2022-08-24,26693.688628854357,22496.892181653853,30878.162858089498
308,2022-08-25,26793.065709477767,22653.383183376594,31003.117017837507
309,2022-08-26,26896.82232804739,22591.722142019593,31075.83449971074
312,2022-08-29,27468.93948482189,23405.148683123385,31590.768598388117
313,2022-08-30,27779.874562652465,23480.45737519135,32091.11611867801
314,2022-08-31,29683.123257411058,25313.57370697683,33998.97512192783
315,2022-09-01,29487.15147091931,25067.96774620656,33499.528420160095
