,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,3912.551415136163,3732.0830016697028,4088.328651953401
305,2022-08-22,4025.8011187532575,3835.9143337079986,4215.842478815146
306,2022-08-23,4064.440800771737,3885.2239566187027,4248.449727011371
307,2022-08-24,4116.3252659715845,3934.808751669142,4287.883999885639
308,2022-08-25,4130.779197479023,3938.4373206179566,4313.008624073476
309,2022-08-26,4113.047277503035,3942.2279309921437,4287.281087188792
312,2022-08-29,4160.184430589267,3987.5750824455868,4325.827287096485
313,2022-08-30,4179.256317806949,4005.3731245407466,4360.7830744379535
314,2022-08-31,4213.915187958126,4035.7326202192994,4391.390907209458
315,2022-09-01,4213.089939886416,4043.4737386322904,4387.333357943993
