,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,7975.339655018024,6962.118387741539,9010.834584835795
305,2022-08-22,7816.857919720132,6786.712882434879,8843.362924273686
306,2022-08-23,7720.078228373412,6626.984145381133,8724.53828754586
307,2022-08-24,7813.011969188833,6749.563101540042,8821.52045882123
308,2022-08-25,7571.616158079681,6512.5729784646865,8665.837931250268
309,2022-08-26,7356.477942117848,6195.8621021643285,8381.768229882597
312,2022-08-29,7254.124847173704,6154.2457209709455,8412.526808411398
313,2022-08-30,7201.952302961559,6146.774983795904,8221.04614668527
314,2022-08-31,7351.649748881315,6260.576893016261,8387.27417756766
315,2022-09-01,7176.044184195736,6161.423728720964,8196.218968736897
