,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,2942.86200105903,2839.803754639895,3044.175070438415
305,2022-08-22,2966.414229849299,2867.523769615327,3066.9982160743416
306,2022-08-23,3001.766124215899,2900.725756389512,3103.585493528995
307,2022-08-24,3014.896314241552,2924.3706536509594,3119.763959621617
308,2022-08-25,3048.525139760199,2947.4975877172096,3145.9879576426865
309,2022-08-26,3056.1945860540263,2953.768158260463,3158.449949525635
312,2022-08-29,3119.7448131364163,3020.14407396015,3210.5484573241088
313,2022-08-30,3167.7030070515925,3074.248697138219,3270.358182465157
314,2022-08-31,3192.495453477907,3092.107093181253,3292.7255477353274
315,2022-09-01,3236.59632715357,3136.349804238977,3338.415111833909
