,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,9547.171405946487,9299.064875159216,9787.959818600615
305,2022-08-22,9390.967493121494,9127.46439961573,9641.643148943745
306,2022-08-23,9362.596038085723,9103.958789741402,9625.088761743295
307,2022-08-24,9316.458521813984,9061.57533132201,9569.405401168833
308,2022-08-25,9291.478589282027,9057.011933489113,9552.078648873357
309,2022-08-26,9256.514239931788,8996.198098191431,9518.861585024606
312,2022-08-29,9073.338893423042,8795.506851234095,9343.34671703367
313,2022-08-30,9039.807266527365,8753.434547446026,9309.041206286773
314,2022-08-31,8990.854000586336,8714.708086289078,9254.333714329165
315,2022-09-01,8965.006542157673,8687.143132007901,9249.879970619284
