,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,623.767420310973,592.3339933313938,656.1182901204419
305,2022-08-22,631.6946609903306,599.6487006177023,663.2500632070887
306,2022-08-23,635.5765708735618,602.6251051087249,665.0897777380123
307,2022-08-24,639.9741601484858,607.4396352176775,671.4488798188253
308,2022-08-25,646.1481146065693,614.0249904819694,678.9635705224347
309,2022-08-26,650.8789778126755,619.0569581056544,684.2302575756852
312,2022-08-29,664.4048979676215,635.0112593164305,697.5776596922275
313,2022-08-30,670.2323890896233,638.0014133283597,704.1897565390724
314,2022-08-31,676.5892621195288,643.4540250018691,708.8976063432444
315,2022-09-01,684.7203869757004,651.0038427771725,718.9653263361788
