,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,1036.8934717440254,1016.3173496405335,1058.2416960264388
305,2022-08-22,1040.340916001231,1018.6794939435309,1061.1263162432222
306,2022-08-23,1040.2200168694476,1020.0624562250576,1063.5986148531044
307,2022-08-24,1046.5675609398281,1025.9403954655015,1067.020751276215
308,2022-08-25,1055.5679992963933,1035.5142511113181,1076.7333892614795
309,2022-08-26,1061.498861018856,1040.5109551512724,1081.321056070096
312,2022-08-29,1078.8630095712285,1056.5921844940601,1100.2297713098692
313,2022-08-30,1082.9665663444835,1061.395147756165,1104.2350930413463
314,2022-08-31,1093.2573268114909,1072.6265473691933,1114.1107107159082
315,2022-09-01,1105.8338703245965,1082.9284172783139,1126.947886039491
