,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,3125.207535515242,3100.0926086057684,3151.5836774841828
305,2022-08-22,3131.5736464337765,3107.1756193014457,3159.2075905000956
306,2022-08-23,3132.7696318633502,3107.893232028201,3158.386998955741
307,2022-08-24,3132.9542382333375,3107.155130712925,3160.9099867348264
308,2022-08-25,3132.6463634349147,3106.93800208878,3158.880442569182
309,2022-08-26,3133.151188183931,3107.6981242835423,3157.6957351954225
312,2022-08-29,3137.928850704166,3112.209757975143,3164.6336239508405
313,2022-08-30,3138.481718015509,3112.216486677641,3164.9205012955467
314,2022-08-31,3137.967374234597,3110.8703639412524,3164.2494414723296
315,2022-09-01,3136.907946451565,3113.2390776339666,3164.0254158182047
