,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,955.2935559200365,891.1446406898345,1012.4778382448699
305,2022-08-22,957.9342543293965,896.8063999094685,1015.6643804770246
306,2022-08-23,964.066737654519,904.8027189707301,1027.8709731126391
307,2022-08-24,967.4759308847706,906.5563859791549,1027.6569003962354
308,2022-08-25,971.8674737766939,911.9521001653528,1030.7094999703452
309,2022-08-26,978.1475136287279,918.0577194993402,1038.925948617013
312,2022-08-29,993.8908880587653,929.1722980819806,1054.5421842180506
313,2022-08-30,1003.4972939714505,943.3794953121414,1066.5604846396955
314,2022-08-31,1009.7943057599804,948.1702057472298,1071.9028582579572
315,2022-09-01,1016.5255527236785,955.6754135135164,1074.0841136035576
