,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,681.8130217759717,657.9987783469993,707.5515930786656
305,2022-08-22,677.591122989061,653.977388839016,702.1212722456005
306,2022-08-23,676.1514727311637,650.697359467149,700.8020466520746
307,2022-08-24,674.5532667828944,650.2287048022179,698.4223348076447
308,2022-08-25,675.6614275741413,650.9127338974042,699.1896638350786
309,2022-08-26,674.4773112827862,650.1828384528457,697.3869671809032
312,2022-08-29,679.103759317651,654.4077243193931,703.5899570438689
313,2022-08-30,681.3093937418221,656.6671561535826,706.1220755491229
314,2022-08-31,683.650297130955,658.0049126447769,707.8075433255079
315,2022-09-01,688.9634537239378,664.8201696411901,712.6436860640456
