,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,2647.301444943801,2465.5707723548107,2841.038918308388
305,2022-08-22,2634.0080038718643,2445.59053381834,2810.2907159864285
306,2022-08-23,2580.657017594117,2394.1476639629377,2771.593005910217
307,2022-08-24,2615.857452157611,2439.0191012914015,2792.1906619996284
308,2022-08-25,2607.4853238973305,2435.9526997868134,2801.92595260296
309,2022-08-26,2560.9037721327795,2366.8127427624986,2736.855900502042
312,2022-08-29,2533.956767927913,2351.7081575684338,2713.6801738556665
313,2022-08-30,2479.419574037803,2302.798637901967,2655.825170648822
314,2022-08-31,2515.774040745741,2339.429608231247,2686.50819475919
315,2022-09-01,2509.9340919017486,2317.729125646716,2689.269922580375
