,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,3117.8610755746126,3079.125288442573,3159.228323093727
305,2022-08-22,3083.5796625718353,3043.3794124988,3122.8148767708026
306,2022-08-23,3091.7137268835304,3054.846140676578,3134.0158447735002
307,2022-08-24,3087.34617210152,3045.167074938636,3134.2272732860292
308,2022-08-25,3073.458816699869,3028.8872159617504,3118.789269601711
309,2022-08-26,3065.2831358495923,3020.666746370359,3114.148470057461
312,2022-08-29,3005.7263598151385,2955.4705643576467,3056.420230993027
313,2022-08-30,3008.1985394681856,2955.689077602898,3058.576722002002
314,2022-08-31,2999.225771890391,2941.1827229412315,3054.6623777045324
315,2022-09-01,2981.915229625344,2926.3852316931616,3042.581240600791
