,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,8190.260506504254,7880.25107192509,8507.033865632104
305,2022-08-22,8179.526315911065,7854.8885867015715,8491.952688217241
306,2022-08-23,8165.949430374215,7870.841420230693,8459.012137271122
307,2022-08-24,8165.281164970896,7861.205437594596,8481.24733488259
308,2022-08-25,8227.420167846156,7914.407751674566,8533.805383971268
309,2022-08-26,8226.789718799006,7903.750456862086,8512.427906483901
312,2022-08-29,8229.994084121548,7931.485763014011,8534.620205383699
313,2022-08-30,8218.347705851986,7918.030296431972,8513.673186967628
314,2022-08-31,8218.050521823927,7954.64613282891,8510.306599212332
315,2022-09-01,8278.785353607353,7979.354892788743,8557.497744867731
