,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,15465.92896334339,15380.017794913863,15547.601300594702
305,2022-08-22,15349.21319173989,15258.644725429747,15436.285686397701
306,2022-08-23,15308.145987131085,15214.35014731835,15402.00204610914
307,2022-08-24,15270.594689150916,15181.883521775573,15365.478742610867
308,2022-08-25,15229.806334672421,15136.037577509658,15331.748552591263
309,2022-08-26,15167.66974157184,15075.100683577657,15270.148538455449
312,2022-08-29,15013.304230057956,14902.302791019749,15124.130469231586
313,2022-08-30,14961.29018996074,14837.65816170163,15077.28899456684
314,2022-08-31,14914.105906587149,14791.632285624572,15041.502801175713
315,2022-09-01,14865.319724174342,14729.409474620961,14999.582469852236
