,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,7109.707066604509,6723.097813348486,7471.788415389793
305,2022-08-22,6970.91894446007,6587.058425536824,7374.424041957838
306,2022-08-23,6916.626456213165,6480.5764262819985,7307.725316846889
307,2022-08-24,6865.043803518789,6489.044604696036,7269.69083639831
308,2022-08-25,6847.017946047395,6417.87501271147,7249.184434518989
309,2022-08-26,6797.221469149157,6376.596299163178,7228.072362447133
312,2022-08-29,6654.2710440868395,6137.057668948802,7146.910334667802
313,2022-08-30,6591.022915824953,6075.522646851002,7142.414338921595
314,2022-08-31,6525.811092282828,6001.10894647944,7073.183579596552
315,2022-09-01,6488.561707356828,5909.516153410488,7045.124644686118
