,ds,yhat,yhat_lower,yhat_upper
302,2022-08-19,4394.37541496132,4073.9577412551766,4692.954193503947
305,2022-08-22,4333.30456084282,4025.9655365556205,4633.621242980234
306,2022-08-23,4356.74103863238,4027.1176929567678,4686.140736179303
307,2022-08-24,4320.85946156858,4020.557550830922,4645.283408664485
308,2022-08-25,4337.362980639869,4025.7032354942335,4659.526336308374
309,2022-08-26,4234.86201279438,3908.1441561083993,4557.3713960902405
312,2022-08-29,4189.011086940434,3862.7746773363206,4501.635967640744
313,2022-08-30,4226.410095627063,3894.087256429089,4554.1257581104555
314,2022-08-31,4208.50459444121,3892.353020294266,4525.445343320857
315,2022-09-01,4248.146324358928,3924.088291614494,4580.314678257052
