,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,7224.750440796047,7049.179595394897,7410.670010950015
306,2022-08-23,7257.833766888923,7086.926010416372,7430.509913002584
307,2022-08-24,7253.70705315317,7067.436048121572,7439.084882145898
308,2022-08-25,7265.044796438277,7081.062758114264,7452.425966065685
309,2022-08-26,7281.752767056759,7096.7433815561535,7473.335296175411
312,2022-08-29,7293.866779688816,7082.491438091149,7490.938517737491
313,2022-08-30,7403.41931138416,7180.689357768167,7619.57682428184
314,2022-08-31,7473.2280841914935,7245.643494784551,7712.426208748993
315,2022-09-01,7556.5178883347635,7300.166757689508,7789.9636308218
316,2022-09-02,7641.920066355683,7386.3096414147085,7880.2305864876735
