,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,20147.456222667057,17575.87705926551,22616.061389447845
306,2022-08-23,20051.494000000162,17747.19242260622,22597.94533811526
307,2022-08-24,20280.263012117965,17713.879516986464,22841.13082182535
308,2022-08-25,20494.249877142447,18016.447479954328,23036.796072966205
309,2022-08-26,20850.94352022333,18217.378774380828,23373.183800479
312,2022-08-29,22952.44155183256,20229.283399174106,25457.552526684663
313,2022-08-30,23143.97270383461,20561.20803871661,25633.918570761
314,2022-08-31,23660.922664201204,21035.586990351203,26206.89340479371
315,2022-09-01,24155.765485625365,21413.43646661703,26889.075832586313
316,2022-09-02,24776.90709256067,22019.143793248368,27395.269217295416
