,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,2312.865376048219,2129.79015029108,2486.722674101373
306,2022-08-23,2369.6394575335066,2196.853235960019,2542.7640989382344
307,2022-08-24,2412.470449428209,2236.6804581319698,2587.23646902272
308,2022-08-25,2511.447231424311,2332.488316858841,2681.0522995595506
309,2022-08-26,2536.887321064113,2372.7260697759602,2704.9988128007176
312,2022-08-29,2685.1652136447988,2515.9091559596836,2866.9671189967007
313,2022-08-30,2736.431058892464,2564.143884612509,2909.868514792286
314,2022-08-31,2770.3042401136245,2599.787288248374,2944.2756317212516
315,2022-09-01,2857.2974089374197,2685.526732144916,3042.1569691103673
316,2022-09-02,2866.7027713006723,2688.1435119544694,3034.6110308949433
