,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,93.55014993201023,-308.5235725765031,487.4295358597917
306,2022-08-23,98.96380838803448,-293.1771667024388,505.23661501788865
307,2022-08-24,99.17469805618943,-298.77310365737134,500.4202202996763
308,2022-08-25,100.18527191188,-281.9920397713421,532.6437211435964
309,2022-08-26,100.1168759236442,-297.5292322389283,520.5968198922535
312,2022-08-29,100.57518494720097,-318.9629318039696,531.8023217713015
313,2022-08-30,104.7946004600986,-299.2546092953984,483.18566149748386
314,2022-08-31,103.38803263597137,-284.86777288391704,537.5317901631621
315,2022-09-01,102.72187346480489,-295.2368589908517,502.7437254702944
316,2022-09-02,100.84180970539187,-315.4300507786699,495.413999427665
