,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,19572.116287278466,16890.473170582136,22396.602975152025
306,2022-08-23,20528.69854247103,17707.83362842892,23529.833978608214
307,2022-08-24,20568.494587754543,17797.26472774647,23348.054612989705
308,2022-08-25,19319.62332990897,16482.43954095312,22183.724781995475
309,2022-08-26,19344.003962396113,16375.092429826313,22434.454853869414
312,2022-08-29,19096.494332946866,15763.800282709592,22083.221042802226
313,2022-08-30,20109.2104476104,16619.566085015085,23463.559084462082
314,2022-08-31,19916.677018319526,16605.02175319937,23373.959704295525
315,2022-09-01,18095.585526662268,14579.234763482174,21467.90655384878
316,2022-09-02,17648.022512388536,14233.881607722611,20901.460393620488
