,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,-801.170510698188,-2277.215579739245,534.0251867493914
306,2022-08-23,-598.2383366109166,-1945.1506486069093,860.9455368414058
307,2022-08-24,-623.8749650495517,-2037.3448553467333,803.8854286115034
308,2022-08-25,-589.2693742716328,-2078.3090948869253,853.0927269344323
309,2022-08-26,-577.6967297151915,-2034.7400872342678,836.097089692809
312,2022-08-29,-562.5270839277044,-2010.617882937909,813.5224221842692
313,2022-08-30,-236.59772847183348,-1622.5568518186078,1132.504293173648
314,2022-08-31,-146.33706902222994,-1509.7196285382845,1267.5612411327863
315,2022-09-01,-5.667132184804862,-1430.8305839537231,1302.4616467567675
316,2022-09-02,98.29950443315813,-1305.0500221580953,1534.2891974493136
