,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,337.81402451317314,332.94717422842126,342.62014049007894
306,2022-08-23,339.4440715980579,334.5083244036854,344.70824616717294
307,2022-08-24,341.1782849198887,336.255891554125,345.87644149761513
308,2022-08-25,341.9735256669445,337.32560451291556,346.7089765093951
309,2022-08-26,343.96992725353135,339.22225987515435,348.6591249702982
312,2022-08-29,347.11534195361367,342.18378172939555,352.19140057729106
313,2022-08-30,347.78089604207656,342.7330479779205,352.9055938712298
314,2022-08-31,348.42891196821836,343.41486904276934,353.5415722106347
315,2022-09-01,348.04222990362854,343.1075989924119,352.9423058969518
316,2022-09-02,348.7937515860342,343.9361343712297,353.83903594962015
